CONFIGURATION:
experiment file = experiments/transformation_invariance_testing.py
git branch = main
git commit hash = 6a88ef0c1b72cfb62fd7eeddc4d7ce3bd1faea6f
uncommitted changes = True
seed = 42
engine_config_name = local_400_nodes.ini
data_config_name = mirror_experiment_most_important_fens.ini
remove_pawns = False
num_positions = 1000
network_path = T807785-b124efddc27559564d6464ba3d213a8279b7bd35b1cbfcf9c842ae8053721207
transformations = ['mirror']
queue_max_size = 100000
num_engine_workers = 2
result_subdir = 

fen,original,mirror
1r4k1/2p2ppp/5q2/2P5/p2R4/1rP2P2/4NQPP/K6R w - - 3 25,-0.3978419957234422,-0.5653550518816649
r2q1r1k/1ppbb1pp/3p1n2/p1nP4/2P1p1P1/2N4P/PPBBQ2N/4RRK1 w - - 2 19,0.5412184954981362,0.37453171223520193
3k1r2/1pp4R/p3pr2/3b4/6p1/P2B2q1/1P2Q1P1/1KR5 w - - 2 29,-0.5853377123575758,-0.41999735376162967
5rk1/r2qbpnp/np1p2pB/1N1Qp3/1PP1P1P1/5N1P/5P2/1R3KR1 b - - 3 24,-0.3373469856532258,-0.17328442191392796
r7/ppp2pkp/2qp1np1/4rP2/4P2Q/1P4N1/P1P3PP/3R1RK1 b - - 9 25,0.17328442191392796,0.3373469856532258
3r4/5pkp/p3pnp1/3P4/2PQ4/3B2P1/3q1P1P/1R4K1 w - - 3 33,0.21502007194390482,0.37849818760649634
r1bn1rk1/ppq2pp1/2P3Qp/6N1/2B2p2/P1N5/1PPb2PP/4RR1K b - - 0 21,0.31995597053558095,0.15721432458376025
3r2k1/p5pp/3P1p2/q3n3/2P1Q3/4P1B1/P1r3PP/3R1BK1 b - - 6 35,-0.5721910848457791,-0.7336699645383301
2r2rk1/5n1p/p3q1p1/3pPp2/2pP1R2/4PQ1P/P1B3P1/5RK1 w - - 2 31,0.6038229771537305,0.7641227056980975
2r4r/pp2qpk1/4p1pP/3pNn1n/3P2N1/2P2P1P/PP1Q2R1/4R1K1 b - - 0 31,0.146386127634144,0.30656367069888874
r3brk1/1p4bp/1qn5/p1p2B2/3p2N1/1P2P3/PB2Q1PP/1R3RK1 b - - 0 24,-0.11340784472954135,0.04576558242488631
2kr3r/pp2bppp/B1n1bn2/3p4/NR2Pq2/2R5/PBQ2PPP/2K5 w - - 2 20,-0.7794564220397051,-0.9384919799057512
r5k1/1p1q1ppp/p7/2Pnr1N1/4P3/2b2P1b/P1B2KpP/1RBQ2R1 b - - 1 22,0.3020333792059105,0.4609876690754385
1r3q1k/pp1b1r2/4pnB1/2bp4/7Q/2N1P3/PPP2P1P/R3K1R1 b Q - 6 19,-0.2352199886367522,-0.3940379717592684
8/p2bR3/5qpk/1p1B4/5rn1/2P3N1/PP3P1p/4Q2K w - - 4 46,-0.259794102595233,-0.10226937257959776
5R1R/p2b2r1/3k2p1/1p1p2q1/2pP2P1/3nP3/PP2QP2/1K6 w - - 1 31,0.0,-0.15721432458376025
5rk1/pp1b2qp/2p3p1/2PP4/1PQN2n1/3B4/PB4Pb/4rR1K w - - 0 26,-0.7501839784367689,-0.9071781295453724
3r3k/6pp/1b3p2/2q2P1Q/B6P/5NB1/P2pr1P1/3R3K b - - 0 41,0.33304918887862156,0.1785928104923478
r2qr1k1/pb1n1p1p/1pp2bpB/4p3/2PPQ2P/5N2/PPB2PP1/R3R1K1 w - - 0 16,0.3500405449559876,0.5036101424965264
r4rk1/pp1q2pp/2pb2n1/3p1p2/3P1P2/2PB2PP/PPQBR1K1/R7 b - - 1 19,-0.315525038113223,-0.16259459502186754
rq2r1k1/4bp2/2b1p1p1/1p1pP3/pP1R1PQP/P1P5/2B4K/1N2R3 b - - 0 36,-0.26461577034679334,-0.11340784472954135
4r1k1/5ppp/3p4/3pq1P1/1p3n1P/3n1RQ1/R6K/6N1 w - - 0 45,0.5007393909256361,0.3500405449559876
2r4k/4bq1p/pp1p1r2/2pP2p1/2P1PNR1/5P2/PP1Q3P/6RK w - - 0 29,0.7204426683260746,0.5699323379482024
4r3/2p2Rrk/2q1p1p1/3pP1Pp/p4R2/2P2Q2/5P1P/6K1 b - - 1 36,-0.5361291709629962,-0.38633307155740876
r1b1rnk1/1p3ppp/p4n2/q2pN3/Pb1P1P2/2NB1Q2/1P1B2PP/R3R1K1 w - - 5 16,0.37849818760649634,0.23021404987967117
3kr3/2p3Qp/b1p5/p1bp1P2/1q2p3/2N5/PPP2PPP/3RK2R w K - 1 19,-0.3416114674830253,-0.19436526351756808
r2r2k1/pb3p1p/1p3qp1/2pp4/2P1RN2/5R2/PPQ2PPP/6K1 w - - 0 23,0.12998440516513501,-0.017187259227091543
r3q1k1/1pbbrpp1/4nn1p/ppPpN3/P2P1P2/2NQ3P/2B3P1/R1B1R1K1 b - - 1 19,-0.8278571206286901,-0.6808377622836479
1rrqbk2/5p2/4p1B1/pp1pP3/6p1/P1P1Q3/1P3PPR/4R1K1 b - - 0 29,-0.8768455533580061,-0.73560329332038
r1b2rk1/3n2pp/2p1p3/3p4/1p6/1B2B3/PPP2PPP/2KRR3 w - - 4 20,0.21502007194390482,0.07416246655318336
8/4rk1p/1pR3p1/3pPP2/5P2/3qr3/P5QP/2R4K w - - 7 50,0.9426686132227445,0.8023568583261645
r5k1/2pr1p1p/6pB/2ppPb2/4qP2/P5RP/2P3P1/1R1Q2K1 w - - 1 29,0.16259459502186754,0.02291206523366934
